Ticker,Strategy,Total Return [%],Max Drawdown [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio
ORCL,Benchmark,222.40515481157357,35.7874744512126,1.2552861614369695,2.0959190174863083,1.8305760334161005
CRM,Trend,21.22393786617,14.907082896288276,0.43859040459335463,0.7954665310511743,0.33997524634755333
CRM,High_Vol,9.046027670722252,24.864777384092893,0.27896450466484357,0.413850243502893,0.1326577713587688
CRM,Low_Vol,-8.135380560682279,32.9240424391351,0.009173124062890899,0.012344786204466886,-0.09506212808980745
CRM,Benchmark,26.912782759046223,36.75562240487458,0.45408112639279496,0.645260004967857,0.291381570850371
NOW,Trend,38.60112775491147,14.323383479278661,0.6227255130029852,1.006567417700665,0.6106293789724964
NOW,High_Vol,13.68178400642164,14.75820953333708,0.35933927903211144,0.6037850242882511,0.33356209005079185
NOW,Low_Vol,-8.89770743500627,20.16832341285607,-0.216085794708479,-0.2664538102919616,-0.17016077584482642
NOW,Benchmark,111.37813477086735,38.34106448431789,0.9892885342471816,1.4873591989294155,1.0727271783123211
SNOW,Trend,3.740473266643294,22.945958950326236,0.1417890710111611,0.18785524638466528,0.04130194142201997
SNOW,High_Vol,4.514494684726379,21.23518419680658,0.18202492926169417,0.28261637335866896,0.07857087142473616
SNOW,Low_Vol,63.60234770840436,40.53958473765498,0.6449220570984072,1.0246510954585915,0.49972430135358137
SNOW,Benchmark,39.979091549038095,54.00000103449417,0.5657603137964643,0.8520710552060282,0.32006890421479417
PLTR,Trend,68.27218017384578,31.6699329775336,0.5401271024570742,0.9732787864834151,0.45159555752438774
PLTR,High_Vol,60.53981005492909,15.814505919584718,0.8975688846447692,1.8840217330454372,1.2273552842245408
PLTR,Low_Vol,126.14121675828207,38.02870028869895,0.8720104438083413,1.5792348531790663,0.9405858028953383
PLTR,Benchmark,2122.1779172475412,40.611458429565516,2.143628405462934,3.744246345086876,7.619104865407277
ADBE,Trend,-27.16404047528013,31.66743423251961,-0.7856543767523079,-0.8735622057976878,-0.2469061121076103
ADBE,High_Vol,15.478193177762714,25.925920449759726,0.40229108190798113,0.5693074059869725,0.2137266334789433
ADBE,Low_Vol,-41.832182731542645,51.444278549054346,-0.6683165821397264,-0.840830097252402,-0.3572072628068228
ADBE,Benchmark,-13.817097496081644,48.883043003841955,0.06550814212882923,0.08706234576830808,-0.1266850349966625
PANW,Trend,-30.879954858389773,36.93052077236578,-0.3198962817614911,-0.40636983270484084,-0.2450674397010494
PANW,High_Vol,36.62496690234035,14.262969046973446,0.8089188256559127,1.4887284327086432,0.8697957209238264
PANW,Low_Vol,-8.680331149466783,24.964203970998504,-0.10484473377570054,-0.14949686837998413,-0.13401485653580963
PANW,Benchmark,146.36882056208117,30.49349815254886,1.1176090223994988,1.5622912769058364,1.6921021890134718
CRWD,Trend,40.87871086071207,43.786959741132996,0.4966479017629033,0.7500701436989687,0.21016556205231562
CRWD,High_Vol,-0.03598775691489209,34.62615069767232,0.11650571371106078,0.18070918425366336,-0.00038952320903345864
CRWD,Low_Vol,19.116393469644937,41.121020840535515,0.3738607291327331,0.5202616738363007,0.16475905304806557
CRWD,Benchmark,218.4957755444222,46.90285243299378,1.229768096335018,1.8027589557271184,1.5017919945649238
DDOG,Trend,7.4145500227275996,26.004022087432027,0.18756004841901366,0.3332974885695128,0.07130409901992472
DDOG,High_Vol,41.05214229916653,28.690064728647908,0.5501263300010493,1.0018476605673585,0.47951228350848346
DDOG,Low_Vol,5.563558305082697,39.92853498434027,0.23033145815694753,0.34839956675951955,0.0513341565062144
DDOG,Benchmark,118.12114139135068,48.413873021899015,0.8918593444016063,1.4357955667069238,0.9125181767543968
JPM,Trend,26.7639188614689,20.20693363045609,0.5426410772023692,0.7538092353584706,0.31083357330064004
JPM,High_Vol,0.27497592205532784,20.087222210308646,0.06970371252034409,0.09609996611150977,0.0051254941642437475
JPM,Low_Vol,53.25356742531838,8.749425528253049,1.359807584863326,2.399430883773188,1.9829344736386978
JPM,Benchmark,187.69272363184146,24.4239300117657,1.7059953112056887,2.5643567477274645,2.3105272859012898
GS,Trend,33.41408533837452,16.669902598588397,0.5817567653483752,0.9598066886111318,0.46107389974311436
GS,High_Vol,10.364973479511972,4.673276397527984,0.6815548475368511,1.4102526640696162,0.8056364253015794
GS,Low_Vol,27.06239248753158,13.28523183426293,0.664341949970261,1.1373105679545932,0.7068390100798587
GS,Benchmark,178.52437189726115,30.895732816148104,1.4981644869236475,2.2992526252511647,1.7830625956006938
MS,Trend,-3.01826157155303,24.29883864617183,-0.007010312386875611,-0.010730804356420796,-0.03227006716556767
MS,High_Vol,18.11719709381978,21.367215395049026,0.5595235919070091,0.8282800000927207,0.3013274719613471
MS,Low_Vol,35.579118789024506,12.48058571982187,0.8797446773797685,1.4100187139089486,0.9681152416392272
MS,Benchmark,140.52371552506747,29.238731528106964,1.269013120363739,1.8967674698503554,1.539364670078478
BAC,Trend,-2.818289424979139,13.14580210854677,-0.015729333976480128,-0.021228663950996644,-0.05565403780605946
BAC,High_Vol,29.97429221457973,8.870390135203554,1.0617180409819518,1.9242962942176767,1.163795514276155
BAC,Low_Vol,14.34571146704795,16.698801609651913,0.429885304205201,0.6737150521639826,0.30852476360023207
BAC,Benchmark,78.8683702861975,32.57295924938937,0.9291053770289157,1.3768585324553695,0.8570876743113642
C,Trend,38.24116609593686,19.069949223776508,0.6232436855851893,1.0159356817197418,0.45483416603063764
